date,id,value
2024-09-01,p_nf_pretax_gross,17.904107958088346
2024-12-01,p_nf_pretax_gross,17.91936543945385
2025-03-01,p_nf_pretax_gross,17.520677298720152
2025-06-01,p_nf_pretax_gross,17.372579469706427
2025-09-01,p_nf_pretax_gross,17.512001693647267
2025-12-01,p_nf_pretax_gross,17.67711565550505
2026-03-01,p_nf_pretax_gross,18.277662603887965
2026-06-01,p_nf_pretax_gross,19.637738471999008
1947-03-01,p_nf_pretax_net,17.63786015937374
1947-06-01,p_nf_pretax_net,19.630601171439864
1947-09-01,p_nf_pretax_net,19.265781226682584
1947-12-01,p_nf_pretax_net,19.449186393642517
1948-03-01,p_nf_pretax_net,21.191778419147546
1948-06-01,p_nf_pretax_net,21.910888692841585
1948-09-01,p_nf_pretax_net,20.946755561017575
1948-12-01,p_nf_pretax_net,21.62389471052213
1949-03-01,p_nf_pretax_net,20.849610517205083
1949-06-01,p_nf_pretax_net,19.679242696683573
1949-09-01,p_nf_pretax_net,20.61252498013628
1949-12-01,p_nf_pretax_net,18.733838312449592
1950-03-01,p_nf_pretax_net,20.318315300177453
1950-06-01,p_nf_pretax_net,21.7688168898766
1950-09-01,p_nf_pretax_net,22.940021192017223
1950-12-01,p_nf_pretax_net,23.944168368067594
1951-03-01,p_nf_pretax_net,22.514820592823714
1951-06-01,p_nf_pretax_net,21.949941433943653
1951-09-01,p_nf_pretax_net,21.934445688552774
1951-12-01,p_nf_pretax_net,21.976163245650998
1952-03-01,p_nf_pretax_net,20.540269298318975
1952-06-01,p_nf_pretax_net,19.423740864147693
1952-09-01,p_nf_pretax_net,18.973813021524116
1952-12-01,p_nf_pretax_net,20.084247779731566
1953-03-01,p_nf_pretax_net,20.16851518431688
1953-06-01,p_nf_pretax_net,19.482248440978154
1953-09-01,p_nf_pretax_net,18.92730111911165
1953-12-01,p_nf_pretax_net,15.745347809979767
1954-03-01,p_nf_pretax_net,17.059963520291838
1954-06-01,p_nf_pretax_net,17.73128692714938
1954-09-01,p_nf_pretax_net,18.66816711211141
1954-12-01,p_nf_pretax_net,19.710945112049366
1955-03-01,p_nf_pretax_net,21.398659750802242
1955-06-01,p_nf_pretax_net,21.318461147411075
1955-09-01,p_nf_pretax_net,20.850062030497515
1955-12-01,p_nf_pretax_net,20.89563592623056
1956-03-01,p_nf_pretax_net,19.689364523155604
1956-06-01,p_nf_pretax_net,19.386817318771953
1956-09-01,p_nf_pretax_net,18.94243951239394
1956-12-01,p_nf_pretax_net,18.784366176252043
1957-03-01,p_nf_pretax_net,19.023526547595335
1957-06-01,p_nf_pretax_net,18.378328025053897
1957-09-01,p_nf_pretax_net,17.88804184026239
1957-12-01,p_nf_pretax_net,16.665528715070575
1958-03-01,p_nf_pretax_net,14.675620315849004
1958-06-01,p_nf_pretax_net,15.27257634379875
1958-09-01,p_nf_pretax_net,16.617367178005548
1958-12-01,p_nf_pretax_net,18.233839756078382
1959-03-01,p_nf_pretax_net,18.94518453810876
1959-06-01,p_nf_pretax_net,19.883475043837297
1959-09-01,p_nf_pretax_net,17.89171716841499
1959-12-01,p_nf_pretax_net,17.579176300169873
1960-03-01,p_nf_pretax_net,18.371583215318058
1960-06-01,p_nf_pretax_net,16.967583896819434
1960-09-01,p_nf_pretax_net,16.708720681549732
1960-12-01,p_nf_pretax_net,15.920374279047767
1961-03-01,p_nf_pretax_net,15.399875213976035
1961-06-01,p_nf_pretax_net,16.75891258342829
1961-09-01,p_nf_pretax_net,17.314598383034323
1961-12-01,p_nf_pretax_net,18.334213449387256
1962-03-01,p_nf_pretax_net,18.192408157139642
1962-06-01,p_nf_pretax_net,17.68488858917081
